generic,brand,category,categoryUr,dosageForm,strength,prescription,usesEn,usesUr,sideEn,sideUr,warningEn,warningUr,contraindicationsEn,contraindicationsUr,interactionsEn,interactionsUr,pregnancyEn,pregnancyUr,pediatricEn,pediatricUr,drapRegistrationNo,marketStatus,sourceStatus
Paracetamol,Panadol,Pain & Fever,بخار اور درد,,,False,Fever; mild–moderate pain,بخار؛ ہلکے سے درمیانے درد,Nausea; rash; overdose can cause severe liver injury,متلی؛ ریش؛ زیادہ مقدار جگر کو شدید نقصان دے سکتی ہے,Do not exceed label/prescribed dose; check combination products.,مقررہ مقدار سے زیادہ نہ لیں؛ combination products میں paracetamol چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Ibuprofen,Brufen,Pain & Fever,درد اور سوزش,,,False,Pain; fever; inflammation,درد؛ بخار؛ سوزش,Indigestion; heartburn; ulcer/bleeding risk,بدہضمی؛ جلن؛ السر/خون بہنے کا خطرہ,"Avoid in active ulcer, significant kidney disease or NSAID hypersensitivity; pregnancy needs clinician advice.",فعال السر، اہم گردوں کی بیماری یا NSAID allergy میں احتیاط؛ حمل میں ڈاکٹر سے مشورہ۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Mefenamic Acid,Ponstan,Pain & Fever,درد اور سوزش,,,False,Short-term pain; menstrual pain,قلیل مدتی درد؛ ماہواری کا درد,Dyspepsia; abdominal pain; GI bleeding risk,بدہضمی؛ پیٹ درد؛ معدے سے خون بہنے کا خطرہ,Use the lowest effective dose for the shortest time; avoid duplicate NSAIDs.,کم سے کم مؤثر خوراک کم مدت کے لیے؛ دوسری NSAIDs کے ساتھ خود سے نہ ملائیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Diclofenac,Voltaren,Pain & Fever,درد اور سوزش,,,False,Pain and inflammatory conditions,درد اور سوزش والی حالتیں,Dyspepsia; nausea; GI bleeding; cardiovascular risk,بدہضمی؛ متلی؛ معدے سے خون بہنا؛ قلبی خطرات,Avoid unnecessary long-term use; consider GI/CV/renal risk.,بلا ضرورت طویل استعمال سے پرہیز؛ معدہ، دل اور گردوں کے خطرات دیکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Aceclofenac,Aceclofenac brands,Pain & Fever,درد اور سوزش,,,False,Musculoskeletal pain/inflammation,پٹھوں اور جوڑوں کا درد/سوزش,Dyspepsia; nausea; GI effects,بدہضمی؛ متلی؛ معدے کی تکلیف,NSAID; avoid duplicate NSAIDs and use caution with ulcer/renal disease.,NSAID؛ دوسری NSAIDs کے ساتھ نہ ملائیں؛ السر/گردوں کی بیماری میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Naproxen,Naprosyn,Pain & Fever,درد اور سوزش,,,False,Pain and inflammatory conditions,درد اور سوزش والی حالتیں,Dyspepsia; ulcer/bleeding; edema,بدہضمی؛ السر/خون بہنا؛ سوجن,"Use cautiously with GI, renal or cardiovascular disease.",معدے، گردوں یا دل کی بیماری میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Aspirin,Disprin,Pain & Fever,درد اور بخار,,,False,Pain/fever in selected adults; antiplatelet use at low dose,منتخب بالغوں میں درد/بخار؛ کم خوراک میں antiplatelet استعمال,Dyspepsia; bleeding; bronchospasm in susceptible patients,بدہضمی؛ خون بہنا؛ بعض افراد میں سانس کی تنگی,Do not give aspirin to children/teenagers with viral illness; low-dose use should follow clinician advice.,وائرل بیماری میں بچوں/نوجوانوں کو نہ دیں؛ low-dose استعمال ڈاکٹر کے مشورے سے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Omeprazole,Risek,Gastrointestinal,معدہ اور تیزابیت,,,False,GERD; acid-related disorders; ulcers,GERD؛ تیزابیت سے متعلق بیماری؛ السر,Headache; abdominal symptoms; diarrhea,سر درد؛ پیٹ کی تکلیف؛ دست,"Persistent symptoms, alarm features or prolonged use need medical review.",مسلسل علامات یا طویل استعمال میں طبی معائنہ ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Esomeprazole,Nexum,Gastrointestinal,معدہ اور تیزابیت,,,False,GERD; acid-related disorders,GERD؛ تیزابیت سے متعلق بیماری,Headache; diarrhea; abdominal discomfort,سر درد؛ دست؛ پیٹ کی تکلیف,Long-term use should be clinically reviewed.,طویل استعمال ڈاکٹر سے review کروائیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Pantoprazole,Somac,Gastrointestinal,معدہ اور تیزابیت,,,False,GERD; acid-related disorders,GERD؛ تیزابیت سے متعلق بیماری,Headache; diarrhea; abdominal discomfort,سر درد؛ دست؛ پیٹ کی تکلیف,Use according to diagnosis and duration; review persistent symptoms.,تشخیص اور مدت کے مطابق استعمال؛ مسلسل علامات میں معائنہ۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
